177.34	-0.000
177.56	-0.000
177.78	-0.000
178.00	-0.146
178.22	-0.000
178.44	-0.540
178.66	-0.161
178.89	0.195
179.11	0.357
179.33	0.295
179.55	0.197
179.77	0.250
179.99	0.298
180.21	0.071
180.43	0.150
180.65	0.232
180.87	0.168
181.09	0.107
181.31	0.018
181.53	0.100
181.75	0.131
181.97	0.138
182.19	0.173
182.41	0.150
182.63	0.119
182.85	0.166
183.07	0.168
183.30	0.215
183.52	0.182
183.74	0.198
183.96	0.165
184.18	0.166
184.40	0.177
184.62	0.207
184.84	0.162
185.06	0.170
185.28	0.187
185.50	0.213
185.72	0.213
185.94	0.248
186.16	0.256
186.38	0.270
186.60	0.292
186.82	0.342
187.04	0.414
187.26	0.426
187.48	0.427
187.70	0.461
187.92	0.490
188.14	0.525
188.36	0.558
188.58	0.588
188.80	0.598
189.02	0.615
189.24	0.665
189.46	0.697
189.68	0.704
189.90	0.722
190.12	0.729
190.34	0.764
190.56	0.775
190.78	0.819
191.00	0.808
191.22	0.822
191.44	0.842
191.66	0.851
191.88	0.898
192.10	0.940
192.32	0.926
192.54	0.935
192.76	0.954
192.98	0.978
193.20	0.981
193.42	0.984
193.64	0.997
193.86	0.998
194.08	1.001
194.30	1.028
194.52	1.046
194.74	1.051
194.96	1.064
195.18	1.069
195.40	1.071
195.62	1.102
195.84	1.106
196.06	1.121
196.28	1.150
196.50	1.165
196.72	1.132
196.94	1.156
197.16	1.166
197.38	1.170
197.60	1.156
197.82	1.158
198.04	1.162
198.26	1.166
198.48	1.173
198.70	1.236
198.92	1.212
199.13	1.197
199.35	1.255
199.57	1.285
199.79	1.262
200.01	1.247
200.23	1.252
200.45	1.254
200.67	1.244
200.89	1.266
201.11	1.285
201.33	1.262
201.55	1.261
201.77	1.303
201.99	1.310
202.21	1.299
202.43	1.322
202.65	1.321
202.87	1.306
203.09	1.297
203.31	1.304
203.52	1.307
203.74	1.317
203.96	1.332
204.18	1.366
204.40	1.360
204.62	1.385
204.84	1.409
205.06	1.429
205.28	1.442
205.50	1.456
205.72	1.425
205.94	1.432
206.16	1.441
206.38	1.436
206.59	1.423
206.81	1.444
207.03	1.476
207.25	1.488
207.47	1.489
207.69	1.507
207.91	1.496
208.13	1.471
208.35	1.486
208.57	1.501
208.79	1.511
209.01	1.481
209.22	1.474
209.44	1.460
209.66	1.458
209.88	1.488
210.10	1.497
210.32	1.503
210.54	1.517
210.76	1.508
210.98	1.532
211.20	1.555
211.42	1.576
211.63	1.609
211.85	1.608
212.07	1.617
212.29	1.614
212.51	1.605
212.73	1.621
212.95	1.615
213.17	1.617
213.39	1.621
213.60	1.609
213.82	1.592
214.04	1.600
214.26	1.611
214.48	1.624
214.70	1.626
214.92	1.612
215.14	1.583
215.35	1.583
215.57	1.592
215.79	1.587
216.01	1.584
216.23	1.584
216.45	1.567
216.67	1.549
216.89	1.551
217.10	1.550
217.32	1.535
217.54	1.525
217.76	1.530
217.98	1.522
218.20	1.504
218.42	1.489
218.64	1.477
218.85	1.465
219.07	1.457
219.29	1.449
219.51	1.433
219.73	1.413
219.95	1.396
220.17	1.378
220.38	1.364
220.60	1.344
220.82	1.324
221.04	1.306
221.26	1.292
221.48	1.268
221.69	1.251
221.91	1.232
222.13	1.210
222.35	1.190
222.57	1.172
222.79	1.152
223.00	1.127
223.22	1.101
223.44	1.080
223.66	1.057
223.88	1.033
224.10	1.012
224.32	0.990
224.53	0.972
224.75	0.950
224.97	0.931
225.19	0.909
225.41	0.890
225.62	0.870
225.84	0.852
226.06	0.833
226.28	0.813
226.50	0.792
226.72	0.773
226.93	0.754
227.15	0.739
227.37	0.722
227.59	0.706
227.81	0.689
228.02	0.672
228.24	0.657
228.46	0.641
228.68	0.626
228.90	0.612
229.12	0.596
229.33	0.581
229.55	0.567
229.77	0.553
229.99	0.542
230.21	0.529
230.42	0.516
230.64	0.504
230.86	0.493
231.08	0.481
231.30	0.469
231.51	0.457
231.73	0.447
231.95	0.436
232.17	0.425
232.38	0.415
232.60	0.407
232.82	0.397
233.04	0.388
233.26	0.379
233.47	0.371
233.69	0.362
233.91	0.354
234.13	0.346
234.35	0.338
234.56	0.330
234.78	0.324
235.00	0.316
235.22	0.309
235.43	0.302
235.65	0.295
235.87	0.289
236.09	0.283
236.30	0.278
236.52	0.272
236.74	0.265
236.96	0.259
237.18	0.255
237.39	0.250
237.61	0.244
237.83	0.239
238.05	0.233
238.26	0.228
238.48	0.224
238.70	0.219
238.92	0.216
239.13	0.212
239.35	0.207
239.57	0.204
239.79	0.201
240.00	0.198
240.22	0.194
240.44	0.191
240.66	0.188
240.87	0.185
241.09	0.182
241.31	0.180
241.53	0.177
241.74	0.174
241.96	0.171
242.18	0.169
242.40	0.167
242.61	0.165
242.83	0.163
243.05	0.160
243.27	0.158
243.48	0.155
243.70	0.153
243.92	0.152
244.13	0.150
244.35	0.148
244.57	0.145
244.79	0.143
245.00	0.141
245.22	0.140
245.44	0.138
245.65	0.137
245.87	0.135
246.09	0.133
246.31	0.132
246.52	0.130
246.74	0.129
246.96	0.128
247.18	0.127
247.39	0.126
247.61	0.124
247.83	0.123
248.04	0.122
248.26	0.121
248.48	0.120
248.69	0.119
248.91	0.117
249.13	0.116
249.35	0.115
249.56	0.114
249.78	0.114
250.00	0.113
250.21	0.112
250.43	0.111
250.65	0.111
250.86	0.110
251.08	0.109
251.30	0.108
251.51	0.107
251.73	0.106
251.95	0.105
252.17	0.105
252.38	0.105
252.60	0.105
252.82	0.104
253.03	0.103
253.25	0.103
253.47	0.102
253.68	0.101
253.90	0.100
254.12	0.100
254.33	0.099
254.55	0.099
254.77	0.098
254.98	0.098
255.20	0.097
255.42	0.096
255.63	0.096
255.85	0.096
256.07	0.096
256.28	0.096
256.50	0.095
256.72	0.094
256.93	0.094
257.15	0.094
257.37	0.094
257.58	0.093
257.80	0.092
258.02	0.091
258.23	0.090
258.45	0.090
258.67	0.090
258.88	0.091
259.10	0.090
259.32	0.090
259.53	0.090
259.75	0.089
259.96	0.090
260.18	0.089
